track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_id,tempo_normalized,loudness_normalized,mood_score,transition_score,calm,happy,energetic,sad,dark,romantic,focus,hype
4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,0,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,acoustic,0,0.4212748390970671,0.7923439547757369,0.5835,0.656206264624268,0.1,0.6,0.7,0.1,0.0,0.3,0.4,0.7
1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,0,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,0,0.2498311222862289,0.7561762807346987,0.3995,0.4983358010069758,0.7,0.6,0.2,0.1,0.0,0.8,0.5,0.1
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,0,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,acoustic,0,0.3750680201902688,0.557342096512333,0.263,0.5461367055675339,0.4,0.7,0.3,0.1,0.0,0.6,0.2,0.2
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,0,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,acoustic,0,0.2889826055954815,0.5574985818516127,0.3465499999999999,0.5471603958156981,0.7,0.6,0.3,0.2,0.1,0.5,0.6,0.2
2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,0,0.468579363143377,0.7411732488312501,0.5415,0.6115842039915423,0.3,0.8,0.6,0.1,0.0,0.5,0.2,0.4
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,0,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,acoustic,0,0.3647101870789784,0.7471783737261115,0.321,0.6096295202683633,0.4,0.5,0.3,0.2,0.1,0.6,0.3,0.2
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,0,0.566490908749742,0.7288304676955578,0.578,0.6661071254817665,0.2,0.8,0.6,0.1,0.0,0.4,0.2,0.5
210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,0,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,acoustic,0,0.2806747602874673,0.7420730395321087,0.4599999999999999,0.566915933273192,0.4,0.6,0.3,0.2,0.1,0.5,0.4,0.2
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,0,0.5211003321261704,0.7387868474072335,0.1117499999999999,0.5556290598444679,0.7,0.1,0.1,0.6,0.2,0.3,0.5,0.0
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,0,0.5159307976657346,0.7101500303190345,0.4845,0.5993602759949229,0.2,0.7,0.6,0.1,0.0,0.3,0.4,0.5
3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,0,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,acoustic,0,0.317996735030867,0.8168534710404318,0.7105,0.6436167353570996,0.3,0.8,0.6,0.2,0.1,0.5,0.4,0.5
6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,0,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,4,acoustic,0,0.4215375377629332,0.7233926021555854,0.392,0.6333100466395062,0.4,0.5,0.6,0.3,0.2,0.5,0.4,0.3
5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,0,0.54023511530595,0.7312168691195744,0.4865,0.6304839948085081,0.2,0.8,0.6,0.1,0.0,0.3,0.2,0.5
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,0,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,0,0.5328701705664909,0.7786514875887565,0.4745,0.6481738860517491,0.2,0.6,0.7,0.3,0.1,0.4,0.3,0.5
5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,0,0.54023511530595,0.7312168691195744,0.4865,0.6304839948085081,0.2,0.8,0.6,0.1,0.0,0.3,0.2,0.5
2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,0,0.54023511530595,0.7312168691195744,0.4865,0.6304839948085081,0.2,0.8,0.6,0.1,0.0,0.3,0.2,0.5
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,0,0.54023511530595,0.7312168691195744,0.4865,0.6304839948085081,0.2,0.8,0.6,0.1,0.0,0.3,0.2,0.5
3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,0,0.54023511530595,0.7312168691195744,0.4865,0.6304839948085081,0.2,0.8,0.6,0.1,0.0,0.3,0.2,0.5
1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,0,0.593,0.455,6,-8.192,1,0.0388,0.366,0.0,0.0914,0.564,202.019,4,acoustic,0,0.806011108400728,0.7511100678755158,0.5095,0.716707058758748,0.2,0.7,0.6,0.1,0.0,0.3,0.2,0.5
3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,0,0.6342296361623477,0.6805547405277468,0.204,0.5369281255633648,0.3,0.2,0.4,0.3,0.1,0.1,0.2,0.3
0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,0,0.6342296361623477,0.6805547405277468,0.204,0.5369281255633648,0.3,0.2,0.4,0.3,0.1,0.1,0.2,0.3
6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,0,0.6342296361623477,0.6805547405277468,0.204,0.5369281255633648,0.3,0.2,0.4,0.3,0.1,0.1,0.2,0.3
62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic,0,0.2582984632128046,0.7012694873149071,0.1664999999999999,0.4561893168425706,0.7,0.1,0.1,0.6,0.4,0.2,0.5,0.0
3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,rainy day indie,Throwing Good After Bad,0,247791,0,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4,acoustic,0,0.5057699885538437,0.6584120650196584,0.2056,0.5550606845245007,0.3,0.4,0.3,0.2,0.1,0.2,0.4,0.1
1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,Coffee Moment,This Time Tomorrow,0,206267,0,0.606,0.326,10,-10.031,1,0.0294,0.841,0.0,0.139,0.414,91.626,4,acoustic,0,0.2881522901694406,0.7151380005085773,0.37,0.5364300968926726,0.6,0.5,0.3,0.1,0.1,0.3,0.5,0.1
0adVktNVJXPZfhQe6B1NO5,KT Tunstall,sadsadchristmas,Lonely This Christmas,0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic,0,0.2582984632128046,0.7012694873149071,0.1664999999999999,0.4561893168425706,0.7,0.1,0.1,0.6,0.4,0.2,0.5,0.0
6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,306794,0,0.474,0.519,7,-5.291,1,0.0253,0.281,0.0,0.107,0.326,151.832,4,acoustic,0,0.5705815022610848,0.8078555640318447,0.4225,0.6174790220976432,0.2,0.4,0.6,0.2,0.1,0.2,0.3,0.3
1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,266960,0,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4,acoustic,0,0.2712785919351509,0.712555992410461,0.2214999999999999,0.5172781947818706,0.7,0.1,0.2,0.6,0.5,0.2,0.4,0.0
0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,0,0.476,0.666,6,-3.438,1,0.0446,0.314,0.0,0.342,0.498,148.155,4,acoustic,0,0.5533325202184151,0.8441014807425228,0.5820000000000001,0.6244780003203126,0.2,0.6,0.7,0.1,0.1,0.3,0.4,0.5
7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,0,0.6655423789240612,0.7815660270328424,0.7055,0.6717028019856345,0.1,0.7,0.6,0.0,0.0,0.3,0.2,0.5
72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,0,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,acoustic,0,0.3644615615559266,0.7074506582164584,0.254,0.5559707399241284,0.7,0.3,0.2,0.6,0.3,0.2,0.7,0.1
3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,Documentary,透明だった世界,61,232360,0,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,4,acoustic,0,0.6474114799316983,0.8294896621872737,0.7370000000000001,0.6166337140396574,0.1,0.6,0.8,0.1,0.0,0.3,0.2,0.7
2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Black Bear,Pieces,60,241119,0,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,acoustic,0,0.5010883230443022,0.7966668622733407,0.475,0.5972517284392143,0.2,0.1,0.7,0.4,0.3,0.2,0.3,0.5
5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,0,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,3,acoustic,0,0.2014288931004071,0.7421512822017488,0.4785,0.4635267251007186,0.7,0.5,0.2,0.3,0.1,0.4,0.6,0.1
2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,0,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4,acoustic,0,0.5573902763965248,0.7276959489857793,0.369,0.6203620751274347,0.4,0.3,0.6,0.5,0.3,0.2,0.5,0.2
6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,Black Bear,The Enemy,62,286865,0,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,acoustic,0,0.4305162028784268,0.8092052500831327,0.5815,0.5919071509871866,0.1,0.3,0.7,0.2,0.1,0.2,0.3,0.5
7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,Build It Better,51,234473,0,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,acoustic,0,0.3037500234552379,0.6566711656201709,0.246,0.495473729691803,0.6,0.3,0.2,0.2,0.1,0.2,0.5,0.1
25UzeaV47eDT44Fovve6xQ,Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0,216000,0,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,4,acoustic,0,0.2339659992869607,0.726541869608591,0.4415,0.4871692896318505,0.7,0.4,0.2,0.3,0.1,0.5,0.6,0.1
4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,67,232760,0,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,4,acoustic,0,0.6509485298256806,0.7087612229329264,0.253,0.543236584252869,0.2,0.3,0.6,0.1,0.0,0.2,0.4,0.5
2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,What's Left of You,57,178600,1,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,4,acoustic,0,0.4117285572213986,0.784656612483618,0.386,0.6424617232350055,0.3,0.4,0.6,0.2,0.1,0.5,0.4,0.3
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75,254400,0,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic,0,0.6785084345035933,0.774074291414823,0.436,0.6091942419728055,0.3,0.6,0.5,0.1,0.0,0.4,0.4,0.2
6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,0,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,acoustic,0,0.6645525678794588,0.8053517986033684,0.504,0.6333014554942756,0.1,0.2,0.7,0.4,0.3,0.1,0.3,0.5
7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,0,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,acoustic,0,0.3116638207644531,0.6117403125794652,0.3585,0.5131347111146395,0.7,0.4,0.2,0.1,0.1,0.6,0.8,0.1
6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,0,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,4,acoustic,0,0.2338815604300752,0.7499951098331474,0.3535,0.5629588900877409,0.4,0.3,0.2,0.1,0.0,0.2,0.5,0.1
0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Covers,Always Be My Baby,62,181852,0,0.582,0.255,4,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,139.884,4,acoustic,0,0.5145328654795187,0.7107759716761536,0.27,0.6024362790518908,0.2,0.4,0.3,0.1,0.0,0.6,0.3,0.2
3e5yu9MkIvQx17mm7LF6KY,Canyon City,Midnight Waves,Alone with You,58,186584,0,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4,acoustic,0,0.2648753119546657,0.6655712692917083,0.2405,0.4931488604154579,0.7,0.2,0.1,0.3,0.1,0.4,0.6,0.0
6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,Making All Things New,65,159600,0,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,acoustic,0,0.3273319197643217,0.6877921874694364,0.4175,0.6007080357445861,0.6,0.5,0.4,0.1,0.1,0.3,0.7,0.2
2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,0,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,4,acoustic,0,0.238539770701593,0.7644895643839367,0.2375,0.4666764450285099,0.6,0.2,0.1,0.7,0.3,0.4,0.5,0.0
7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,0,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,4,acoustic,0,0.4588407483159138,0.757956301469006,0.308,0.58826568326164,0.2,0.3,0.5,0.1,0.0,0.3,0.4,0.2
0ZwdH0m32I8odedwvspYTh,Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,0,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,acoustic,0,0.4120710036965455,0.6768382137198521,0.3335,0.6253030724721326,0.3,0.4,0.6,0.3,0.2,0.7,0.4,0.5
16dkWKIlBsfYTISCVuDs0w,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,0,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3,acoustic,0,0.5149175313831085,0.7904074487021496,0.4594999999999999,0.5964416600284194,0.2,0.4,0.6,0.3,0.1,0.3,0.3,0.2
3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,0,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,acoustic,0,0.3372347212579513,0.7293781663830369,0.2704999999999999,0.482870962546996,0.3,0.2,0.3,0.7,0.1,0.1,0.4,0.1
3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,Dive Deep,When the End Comes,57,354400,0,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,acoustic,0,0.2898129210215225,0.7262484595974414,0.5015,0.5190204602063213,0.6,0.4,0.3,0.3,0.2,0.5,0.5,0.1
2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,You're Still The One,56,177500,0,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,4,acoustic,0,0.4198393785300132,0.744009545605696,0.5065,0.590282974711903,0.3,0.6,0.5,0.1,0.0,0.7,0.2,0.1
0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,247840,0,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,acoustic,0,0.5522676524121366,0.757995422803826,0.356,0.5757543584053209,0.2,0.6,0.7,0.1,0.1,0.3,0.3,0.4
38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,0,0.5159307976657346,0.7101500303190345,0.4845,0.5993602759949229,0.3,0.7,0.6,0.1,0.1,0.4,0.3,0.5
2SkJKMfjpYsNv0KWOxiegX,A Great Big World,When the Morning Comes,Kaleidoscope,62,229320,0,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,4,acoustic,0,0.365076088792149,0.8106527394714707,0.716,0.6282429427545398,0.1,0.7,0.8,0.1,0.0,0.3,0.2,0.6
4qCbMMMuEB56kHd4zPE6GD,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45,330933,0,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4,acoustic,0,0.3707616384891073,0.6462453298906558,0.2975,0.5180023227932544,0.6,0.2,0.3,0.4,0.1,0.3,0.5,0.1
